acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z;cal_sys;cal_acc;cal_gyr;cal_mag
-0.150000;-0.750000;9.690000;-0.004363;-0.005454;0.000000;0.506250;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.790000;9.670000;0.002182;0.005454;0.000000;0.496875;0.281250;-1.279688;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.750000;9.670000;-0.003272;-0.002182;-0.001091;0.489062;0.256250;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.770000;9.670000;-0.004363;-0.001091;0.001091;0.489062;0.275000;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.780000;9.680000;0.000000;0.006545;0.000000;0.468750;0.256250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.750000;9.680000;0.001091;0.002182;-0.001091;0.468750;0.256250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.190000;-0.790000;9.690000;0.000000;0.000000;0.000000;0.468750;0.281250;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.130000;-0.740000;9.660000;-0.006545;-0.003272;0.001091;0.462500;0.256250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.830000;9.690000;0.001091;0.003272;-0.001091;0.489062;0.256250;-1.279688;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.750000;9.680000;-0.005454;-0.001091;-0.001091;0.468750;0.281250;-1.337500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.140000;-0.770000;9.720000;-0.001091;-0.001091;0.001091;0.468750;0.281250;-1.337500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.820000;9.680000;0.009817;0.006545;-0.001091;0.489062;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.750000;9.680000;-0.003272;-0.005454;-0.003272;0.479688;0.275000;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.790000;9.690000;0.002182;0.001091;0.000000;0.479688;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.750000;9.670000;0.001091;0.000000;0.001091;0.468750;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.790000;9.710000;-0.004363;-0.006545;0.000000;0.468750;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.210000;-0.800000;9.700000;0.004363;0.002182;0.000000;0.489062;0.292188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.760000;9.650000;-0.002182;-0.003272;-0.002182;0.479688;0.267188;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.770000;9.700000;0.003272;0.002182;0.002182;0.489062;0.267188;-1.279688;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.210000;-0.810000;9.670000;0.005454;0.004363;0.000000;0.479688;0.267188;-1.296875;0.998962;-0.042480;0.015076;-0.000854;0;3;3;0
-0.150000;-0.750000;9.680000;-0.007636;-0.004363;-0.003272;0.479688;0.267188;-1.296875;0.998962;-0.042480;0.015076;-0.000854;0;3;3;0
-0.170000;-0.790000;9.690000;0.002182;0.000000;0.001091;0.479688;0.267188;-1.279688;0.998962;-0.042480;0.015076;-0.000854;0;3;3;0
-0.180000;-0.770000;9.680000;-0.003272;-0.001091;0.000000;0.468750;0.267188;-1.276562;0.998962;-0.042480;0.015076;-0.000854;0;3;3;0
-0.180000;-0.750000;9.620000;-0.001091;-0.002182;0.000000;0.468750;0.267188;-1.296875;0.998962;-0.042480;0.015076;-0.000854;0;3;3;0
-0.200000;-0.790000;9.650000;-0.007636;-0.006545;0.001091;0.479688;0.256250;-1.317188;0.998962;-0.042725;0.014832;-0.000854;0;3;3;0
-0.140000;-0.800000;9.700000;0.002182;0.001091;0.004363;0.479688;0.256250;-1.317188;0.998962;-0.042725;0.014832;-0.000854;0;3;3;0
-0.180000;-0.800000;9.690000;0.001091;0.002182;-0.002182;0.479688;0.267188;-1.287500;0.998962;-0.042725;0.014832;-0.000854;0;3;3;0
-0.220000;-0.690000;9.490000;0.002182;0.002182;0.001091;0.489062;0.267188;-1.306250;0.998962;-0.042725;0.014832;-0.000854;0;3;3;0
0.630000;-2.350000;9.690000;0.362156;0.278162;-0.562869;0.489062;0.267188;-1.287500;0.999023;-0.039917;0.017151;-0.004456;0;3;3;0
0.440000;-0.330000;9.990000;0.855211;0.227984;-0.774490;0.462500;0.275000;-0.156250;0.999268;-0.028198;0.021362;-0.015442;0;3;3;0
-0.030000;0.000000;9.980000;0.776672;0.150535;-0.962113;0.462500;0.275000;-0.156250;0.999084;-0.011902;0.025024;-0.032776;0;3;3;0
0.570000;-1.480000;11.040000;1.496620;0.585776;-0.739583;0.489062;0.275000;-0.187500;0.998169;0.009277;0.030762;-0.051208;0;3;3;0
1.020000;-1.490000;11.350000;3.064144;0.242164;-0.533416;0.496875;0.237500;-0.242187;0.995850;0.054504;0.038879;-0.062073;0;3;3;0
1.910000;1.590000;12.090000;4.102614;0.460331;-0.013090;0.526563;0.192188;-0.312500;0.987976;0.132690;0.040405;-0.068176;0;3;3;0
-0.430000;4.310000;10.130000;1.790053;1.100648;-0.201804;0.526563;0.192188;-0.312500;0.980286;0.175964;0.056702;-0.069397;0;3;3;0
-0.740000;2.470000;7.940000;1.021018;1.492257;-0.280344;0.534375;0.025000;-0.484375;0.976929;0.183289;0.085388;-0.068848;0;3;3;0
1.730000;2.350000;8.600000;-0.226893;0.501782;-0.199622;0.600000;-0.056250;-0.743750;0.972107;0.196228;0.105225;-0.073425;0;3;3;0
-1.420000;2.450000;7.490000;-1.221730;-0.174533;-0.511600;0.701563;-0.092188;-0.779688;0.975403;0.175415;0.109436;-0.076782;0;3;3;1
-2.730000;2.380000;6.490000;-1.900227;-0.671952;0.008727;0.764063;-0.064062;-0.926562;0.981567;0.142273;0.101746;-0.077026;0;3;3;1
-1.320000;1.700000;7.960000;-1.531526;-0.891209;-0.032725;0.764063;-0.064062;-0.926562;0.985657;0.119568;0.090881;-0.076904;0;3;3;1
-1.090000;1.320000;7.540000;-1.784599;-0.793034;-0.361065;0.801562;0.017188;-0.976562;0.990967;0.076538;0.075562;-0.080200;0;3;3;1
1.700000;-0.670000;8.530000;-1.349358;-0.843212;-0.357792;0.801562;0.081250;-1.067188;0.993164;0.044739;0.063660;-0.087158;0;3;3;1
-2.790000;-1.090000;3.400000;-1.878411;-0.560687;-0.237801;0.792188;0.164062;-1.106250;0.994324;0.014160;0.054687;-0.090027;0;3;3;1
-2.910000;0.000000;8.350000;0.151625;0.230165;-0.479966;0.746875;0.267188;-1.129688;0.993530;0.016296;0.056885;-0.097107;0;3;3;1
-4.360000;0.330000;8.970000;-0.135263;-0.128718;-0.585776;0.746875;0.267188;-1.129688;0.992493;0.015686;0.055725;-0.107605;0;3;3;1
-5.200000;0.750000;9.390000;0.062177;0.245437;-0.691587;0.775000;0.275000;-1.050000;0.990479;0.015137;0.059875;-0.123230;0;3;3;1
-2.730000;0.830000;8.480000;0.086176;0.010908;-0.666498;0.784375;0.312500;-1.071875;0.988586;0.016968;0.060730;-0.136902;0;3;3;1
-1.390000;0.410000;9.420000;0.273799;-0.361065;-0.602139;0.771875;0.329688;-1.042187;0.987122;0.019714;0.054504;-0.149231;0;3;3;1
-0.170000;0.940000;11.140000;0.366519;-0.930479;-0.308705;0.762500;0.339063;-1.018750;0.986633;0.024170;0.042419;-0.155334;0;3;3;1
-0.090000;0.130000;8.710000;-0.668679;-1.013382;-0.186532;0.762500;0.339063;-1.018750;0.986816;0.015198;0.023437;-0.159546;0;3;3;1
1.010000;-0.550000;9.890000;0.043633;-1.019927;-0.129809;0.725000;0.318750;-1.089062;0.986572;0.005737;0.000000;-0.163208;0;3;3;1
